ID,Time,Summary,Event_team,Opponent,Side,playerno,Player,Player2,Shot_place,Shot_outcome,is_goal,Location,Body_Part,assist_method,Situation,fastbreak,x,y,,,,,,,,,,,,,
1,0:22," Shot by David Paine, saved by goalie. (left foot shot from a difficult angle on the left side to the top left corner; open play, not fast break)",Occidental,Biola,1,5,David Paine,,12,1,0,7,2,0,1,0,2,2,,,,,,,,,,,,,
1,2:01,"Shot by Adrian Paredes, saved by goalie (right foot from very close range to the center of goal; off of a corner)",Occidental,Biola,1,14,Adrian Paredes,,5,1,0,13,1,0,3,0,12,2,,,,,,,,,,,,,
1,6:19,"Shot by Adrian Paredes, misses high. (right foot shot from outside the box is a bit too high; open play, not a fast break)",Occidental,Biola,1,14,Adrian Paredes,,1,2,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
1,8:11,"Shot by Leo Thompson, saved by goalie. (right foot free kick from outside the box to the center of the goal; set piece, not a fast break, not a goal) ",Biola,Occidental,2,0,Leo Thompson,,5,1,0,15,1,0,4,0,13,10,,,,,,,,,,,,,
1,50:21:00,"Shot by James Kilgallon, saved by goalie. (right foot shot from the left side of the box, blocked to the left of goal by keeper; open play, not a fast break)",Biola,Occidental,2,0,James Kilgallon,,8,1,0,9,1,0,1,0,7,5,,,,,,,,,,,,,
1,52:49:00,"Shot by Nicolas Eble, hits the woodwork (post). (left foot shot from the left side of the box to the bottom left corner; open play, fast break) ",Occidental,Biola,1,6,Nicolas Eble,,3,4,0,9,2,0,1,1,7,5,,,,,,,,,,,,,
1,53:59:00,"Shot by Henry Reeves, blocked. (left foot shot from the left side of the box, blocked by defender; open play, not a fast break)",Biola,Occidental,2,0,Henry Reeves,,2,3,0,9,2,0,1,0,7,5,,,,,,,,,,,,,
1,55:34:00,"Shot by Adrian Paredes, saved by goalie. (header from the left side of the box, to the center of the goal; corner, not a fast break)",Occidental,Biola,1,14,Adrian Paredes,,5,1,0,9,3,0,3,0,7,5,,,,,,,,,,,,,
1,58:32:00,"Goal by Adrian Paredes, assist David Paine. (right foot shot from very close range to the center of the goal; open play, not a fast break)",Occidental,Biola,1,14,Adrian Paredes,David Paine,5,1,1,13,1,1,1,0,12,2,,,,,,,,,,,,,
1,67:40:00,"Goal Jack Meeker, penalty kick. (right foot shot to the center of the goal)",Occidental,Biola,1,13,Jack Meeker,,5,1,1,14,1,0,3,0,12.5,6,,,,,,,,,,,,,
1,84:40:00,"Goal by Jack Kilgallon. (right foot shot from the center of the box to the center of the goal; open play, fast break)",Biola,Occidental,2,0,Jack Kilgallon,,5,1,1,3,1,0,1,1,12,7,,,,,,,,,,,,,
